date,open,high,low,close
2016-11-07,6461.001,6487.06,6437.74,6468.817
2016-11-08,6487.649,6518.189,6476.444,6503.178
2016-11-09,6504.412,6507.865,6380.571,6453.572
2016-11-10,6501.639,6538.742,6501.639,6536.965
2016-11-11,6539.36,6584.41,6527.452,6583.886
2016-11-14,6568.659,6624.206,6566.054,6615.007
2016-11-15,6622.878,6641.035,6602.281,6640.462
2016-11-16,6647.529,6658.428,6630.124,6644.188
2016-11-17,6633.31,6646.309,6596.896,6636.469
2016-11-18,6632.627,6643.941,6592.836,6602.327
2016-11-21,6597.175,6635.892,6591.975,6611.54
2016-11-22,6619.85,6661.541,6617.07,6661.246
2016-11-23,6668.248,6676.668,6617.775,6631.173
2016-11-24,6635.224,6656.966,6607.028,6623.049
2016-11-25,6620.219,6652.916,6531.367,6652.818
2016-11-28,6667.266,6692.142,6650.919,6670.804
2016-11-29,6658.355,6681.881,6619.039,6620.795
2016-11-30,6605.361,6615.921,6568.796,6585.578
2016-12-01,6593.594,6624.851,6593.074,6624.466
2016-12-02,6617.874,6623.794,6520.975,6520.975
2016-12-05,6462.256,6522.597,6451.084,6486.017
2016-12-06,6496.164,6514.032,6484.979,6490.89
2016-12-07,6493.003,6558.243,6481.92,6558.025
2016-12-08,6561.722,6562.657,6522.961,6527.434
2016-12-09,6519.395,6534.896,6500.215,6513.916
2016-12-12,6512.959,6519.628,6241.612,6249.078
2016-12-13,6235.558,6292.803,6190.389,6278.179
2016-12-14,6269.081,6299.04,6216.951,6239.499
2016-12-15,6216.145,6310.744,6211.273,6280.398
2016-12-16,6279.277,6329.191,6273.001,6318.524
2016-12-19,6319.857,6330.382,6297.367,6320.732
2016-12-20,6314.611,6315.536,6275.311,6300.638
2016-12-21,6311.058,6348.376,6311.058,6347.606
2016-12-22,6341.201,6350.273,6313.858,6341.788
2016-12-23,6339.347,6343.855,6277.66,6281.997
2016-12-26,6260.34,6295.236,6194.266,6294.755
2016-12-27,6291.647,6311.036,6284.04,6288.859
2016-12-28,6288.732,6295.891,6257.104,6270.24
2016-12-29,6261.868,6286.741,6242.984,6252.608
2016-12-30,6255.62,6275.549,6241.719,6263.626
2017-01-03,6273.818,6320.953,6273.753,6320.763
2017-01-04,6321.747,6395.004,6314.127,6394.669
2017-01-05,6391.584,6412.874,6385.121,6399.284
2017-01-06,6398.863,6401.739,6364.888,6371.617
2017-01-09,6365.389,6415.468,6357.357,6415.418
2017-01-10,6412.762,6428.834,6388.92,6393.928
2017-01-11,6381.705,6402.899,6331.507,6331.964
2017-01-12,6325.623,6339.322,6269.199,6272.851
2017-01-13,6272.79,6282.716,6182.105,6194.658
2017-01-16,6184.129,6184.337,5872.395,6031.241
2017-01-17,6006.08,6082.201,5957.044,6082.066
2017-01-18,6067.168,6098.784,6049.969,6068.593
2017-01-19,6054.725,6074.464,6029.64,6043.675
2017-01-20,6037.56,6129.58,6034.969,6121.998
2017-01-23,6130.44,6189.174,6130.195,6172.167
2017-01-24,6167.84,6177.208,6154.068,6165.264
2017-01-25,6156.776,6187.433,6152.144,6179.568
2017-01-26,6183.159,6224.19,6183.159,6223.706
2017-02-03,6227.462,6231.604,6190.828,6207.092
2017-02-06,6206.535,6259.41,6195.495,6259.247
2017-02-07,6254.2,6269.461,6223.54,6255.927
2017-02-08,6248.471,6291.766,6219.021,6291.598
2017-02-09,6288.884,6331.329,6285.728,6331.177
2017-02-10,6329.683,6350.339,6320.248,6337.108
2017-02-13,6341.727,6370.207,6331.962,6369.653
2017-02-14,6366.937,6378.062,6346.593,6374.885
2017-02-15,6367.644,6379.788,6301.013,6311.696
2017-02-16,6308.318,6363.87,6306.511,6359.336
2017-02-17,6356.092,6365.696,6300.51,6307.163
2017-02-20,6307.234,6385.063,6307.234,6385.063
2017-02-21,6390.508,6434.535,6386.904,6434.438
2017-02-22,6432.751,6474.49,6431.409,6474.225
2017-02-23,6470.617,6482.248,6435.746,6473.993
2017-02-24,6466.182,6477.422,6445.067,6476.166
2017-02-27,6476.376,6480.187,6417.785,6424.255
2017-02-28,6424.995,6451.292,6414.784,6450.97
2017-03-01,6446.436,6488.825,6440.807,6467.639
2017-03-02,6476.106,6484.116,6431.436,6434.626
2017-03-03,6417.389,6457.228,6398.885,6452.839
2017-03-06,6457.593,6518.042,6457.593,6517.324
2017-03-07,6517.845,6523.36,6491.264,6523.187
2017-03-08,6519.974,6525.193,6478.548,6497.088
2017-03-09,6484.582,6484.828,6425.003,6439.382
2017-03-10,6436.758,6464.603,6436.639,6447.917
2017-03-13,6444.558,6508.067,6412.708,6507.896
2017-03-14,6508.369,6518.779,6480.081,6493.485
2017-03-15,6486.3,6499.542,6471.721,6486.062
2017-03-16,6499.832,6543.341,6499.832,6543.341
