product,view_date,contract,expire,dpv_truth_pts,v0_pts,v1_pts,v2_pts,v0_err,v1_err,v2_err,announced_coverage
IH,2025-10-31,IH202511,2025-11-21,0.9,0.9,0.9,0.9,0.0,0.0,0.0,1.0
IH,2025-10-31,IH202512,2025-12-19,9.66,9.66,9.66,9.66,0.0,0.0,0.0,1.0
IH,2025-10-31,IH202512,2025-12-19,9.66,9.66,9.66,9.66,0.0,0.0,0.0,1.0
IH,2025-10-31,IH202603,2026-03-20,20.21,20.21,20.21,20.21,0.0,0.0,0.0,1.0
IH,2025-11-28,IH202512,2025-12-19,8.56,8.56,8.56,8.56,0.0,0.0,0.0,1.0
IH,2025-11-28,IH202601,2026-01-16,14.14,14.14,14.14,14.14,0.0,0.0,0.0,1.0
IH,2025-11-28,IH202603,2026-03-20,18.96,18.96,18.96,18.96,0.0,0.0,0.0,1.0
IH,2025-11-28,IH202606,2026-06-19,39.26,34.05,35.06,38.42,-5.21,-4.2,-0.84,0.432
IH,2025-12-31,IH202601,2026-01-16,4.39,4.39,4.39,4.39,0.0,0.0,0.0,1.0
IH,2025-12-31,IH202602,2026-02-20,9.31,9.31,9.31,9.31,0.0,0.0,0.0,1.0
IH,2025-12-31,IH202603,2026-03-20,9.31,9.31,9.31,9.31,0.0,0.0,0.0,1.0
IH,2025-12-31,IH202606,2026-06-19,30.03,24.71,25.74,29.17,-5.32,-4.29,-0.86,0.276
IC,2024-06-28,IC202407,2024-07-19,13.52,13.52,13.52,13.52,0.0,0.0,0.0,1.0
IC,2024-06-28,IC202408,2024-08-16,18.89,18.89,18.89,18.89,0.0,0.0,0.0,1.0
IC,2024-06-28,IC202409,2024-09-20,20.87,21.23,21.19,20.93,0.36,0.32,0.06,0.929
IC,2024-06-28,IC202412,2024-12-20,28.7,35.24,34.42,34.98,6.54,5.72,6.28,0.553
IC,2024-07-31,IC202408,2024-08-16,1.94,1.94,1.94,1.94,0.0,0.0,0.0,1.0
IC,2024-07-31,IC202409,2024-09-20,3.9,4.25,4.21,3.95,0.36,0.31,0.06,0.722
IC,2024-07-31,IC202409,2024-09-20,3.9,4.25,4.21,3.95,0.36,0.31,0.06,0.722
IC,2024-07-31,IC202412,2024-12-20,11.64,17.92,17.12,17.56,6.28,5.48,5.92,0.211
IC,2024-08-30,IC202409,2024-09-20,1.41,1.41,1.41,1.41,0.0,0.0,0.0,1.0
IC,2024-08-30,IC202410,2024-10-18,5.21,5.3,5.31,5.19,0.09,0.09,-0.02,0.964
IC,2024-08-30,IC202412,2024-12-20,8.76,10.72,10.58,10.98,1.95,1.82,2.22,0.741
IC,2024-08-30,IC202503,2025-03-21,10.44,13.67,13.53,14.3,3.23,3.09,3.86,0.624
IC,2024-09-30,IC202410,2024-10-18,2.26,2.26,2.26,2.26,0.0,0.0,0.0,1.0
IC,2024-09-30,IC202411,2024-11-15,4.14,4.14,4.14,4.14,0.0,0.0,0.0,1.0
IC,2024-09-30,IC202412,2024-12-20,6.65,7.34,7.29,7.64,0.69,0.65,0.99,0.776
IC,2024-09-30,IC202503,2025-03-21,8.72,10.99,10.94,11.74,2.27,2.22,3.01,0.624
IC,2024-10-31,IC202411,2024-11-15,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0
IC,2024-10-31,IC202412,2024-12-20,3.08,3.08,3.08,3.08,0.0,0.0,0.0,1.0
IC,2024-10-31,IC202412,2024-12-20,3.08,3.08,3.08,3.08,0.0,0.0,0.0,1.0
IC,2024-10-31,IC202503,2025-03-21,5.21,5.21,5.21,5.21,0.0,0.0,0.0,1.0
IC,2024-11-29,IC202412,2024-12-20,1.37,1.37,1.37,1.37,0.0,0.0,0.0,1.0
IC,2024-11-29,IC202501,2025-01-17,1.99,1.99,1.99,1.99,0.0,0.0,0.0,1.0
IC,2024-11-29,IC202503,2025-03-21,3.48,3.48,3.48,3.48,0.0,0.0,0.0,1.0
IC,2024-11-29,IC202506,2025-06-20,45.45,44.47,43.06,46.09,-0.97,-2.38,0.65,0.15
IC,2024-12-31,IC202501,2025-01-17,0.28,0.28,0.28,0.28,0.0,0.0,0.0,1.0
IC,2024-12-31,IC202502,2025-02-21,1.6,1.6,1.6,1.6,0.0,0.0,0.0,1.0
IC,2024-12-31,IC202503,2025-03-21,1.74,1.74,1.74,1.74,0.0,0.0,0.0,1.0
IC,2024-12-31,IC202506,2025-06-20,42.8,41.85,40.47,43.44,-0.95,-2.33,0.63,0.074
IC,2025-01-27,IC202502,2025-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
IC,2025-01-27,IC202503,2025-03-21,0.14,0.14,0.14,0.14,0.0,0.0,0.0,1.0
IC,2025-01-27,IC202503,2025-03-21,0.14,0.14,0.14,0.14,0.0,0.0,0.0,1.0
IC,2025-01-27,IC202506,2025-06-20,40.22,39.29,37.95,40.84,-0.93,-2.27,0.62,0.012
