date,product,role,contract,expire,spot,future,basis_raw,dpv_pts,basis_adj,annualized_rate,announced_ratio
2015-07-20,IC,q2,IC1512,2015-12-18,8116.496,6991.0,-1125.496,3.940598926320726,-1121.5554010736794,-33.40166141311586,0.8229528542376049
2015-07-21,IC,current,IC1508,2015-08-21,8220.463,7715.0,-505.46299999999974,2.8655920783993944,-502.59740792160034,-71.9871758778865,1.0
2015-07-21,IC,next,IC1509,2015-09-18,8220.463,7470.0,-750.4629999999997,2.9794737733592083,-747.4835262266405,-56.253066192962976,0.9943336855822291
2015-07-21,IC,q1,IC1509,2015-09-18,8220.463,7470.0,-750.4629999999997,2.9794737733592083,-747.4835262266405,-56.253066192962976,0.9943336855822291
2015-07-21,IC,q2,IC1512,2015-12-18,8220.463,7100.8,-1119.6629999999996,3.669199649564941,-1115.9938003504346,-33.034452124972255,0.8074216235442868
2015-07-22,IC,current,IC1508,2015-08-21,8320.236,7773.0,-547.2360000000008,2.4516274544690115,-544.7843725455318,-79.66372427381431,1.0
2015-07-22,IC,next,IC1509,2015-09-18,8320.236,7518.8,-801.4360000000006,2.5668913487467018,-798.8691086512539,-60.42335749099268,0.9933430987256587
2015-07-22,IC,q1,IC1509,2015-09-18,8320.236,7518.8,-801.4360000000006,2.5668913487467018,-798.8691086512539,-60.42335749099268,0.9933430987256587
2015-07-22,IC,q2,IC1512,2015-12-18,8320.236,7185.0,-1135.2360000000008,3.2649885320000633,-1131.9710114680008,-33.32777005426871,0.7809533728726997
2015-07-23,IC,current,IC1508,2015-08-21,8551.991,8386.0,-165.99099999999999,2.3211618310004907,-163.6698381689995,-24.087752734072872,1.0
2015-07-23,IC,next,IC1509,2015-09-18,8551.991,8225.0,-326.991,2.4396363293786325,-324.55136367062136,-24.3015632758104,0.9928007691375942
2015-07-23,IC,q1,IC1509,2015-09-18,8551.991,8225.0,-326.991,2.4396363293786325,-324.55136367062136,-24.3015632758104,0.9928007691375942
2015-07-23,IC,q2,IC1512,2015-12-18,8551.991,7839.8,-712.1909999999998,3.1571785755731034,-709.0338214244267,-20.44705973430835,0.7671637084333943
2015-07-24,IC,current,IC1508,2015-08-21,8425.074,7980.0,-445.0740000000005,1.8889007992234361,-443.1850992007771,-68.57191199587412,1.0
2015-07-24,IC,next,IC1509,2015-09-18,8425.074,7740.0,-685.0740000000005,2.005617060495077,-683.0683829395055,-52.843952929103445,0.9913728039715745
2015-07-24,IC,q1,IC1509,2015-09-18,8425.074,7740.0,-685.0740000000005,2.005617060495077,-683.0683829395055,-52.843952929103445,0.9913728039715745
2015-07-24,IC,q2,IC1512,2015-12-18,8425.074,7419.0,-1006.0740000000005,2.712510522183079,-1003.3614894778175,-29.570538523282487,0.7330162197328544
2015-07-27,IC,current,IC1508,2015-08-21,7794.181,7341.4,-452.78099999999995,1.7474546478988933,-451.03354535210104,-84.48725738009773,1.0
2015-07-27,IC,next,IC1509,2015-09-18,7794.181,7131.2,-662.9809999999998,1.8554308705403155,-661.1255691294594,-58.41581790124999,0.9913728039715745
2015-07-27,IC,q1,IC1509,2015-09-18,7794.181,7131.2,-662.9809999999998,1.8554308705403155,-661.1255691294594,-58.41581790124999,0.9913728039715745
2015-07-27,IC,q2,IC1512,2015-12-18,7794.181,6823.8,-970.3809999999994,2.509390181534243,-967.8716098184651,-31.47586228321949,0.7330162197328544
2015-07-28,IC,current,IC1508,2015-08-21,7649.82,7221.0,-428.8199999999997,1.3701887697925927,-427.4498112302071,-84.97976700705901,1.0
2015-07-28,IC,next,IC1509,2015-09-18,7649.82,6939.0,-710.8199999999997,1.4761650959116304,-709.3438349040881,-65.08712717322665,0.9893570936288
