product,view_date,contract,expire,dpv_truth_pts,announced_coverage,固定股息率_pts,固定股息率_err,固定分红_pts,固定分红_err,固定派息率_pts,固定派息率_err,派息率x季报EPS_pts,派息率x季报EPS_err
IH,2025-06-30,IH202507,2025-07-18,21.8,1.0,21.8,0.0,21.8,0.0,21.8,0.0,21.8,0.0
IH,2025-06-30,IH202508,2025-08-15,25.05,1.0,25.05,0.0,25.05,0.0,25.05,0.0,25.05,0.0
IH,2025-06-30,IH202509,2025-09-19,28.78,0.896,28.51,-0.27,28.32,-0.46,28.88,0.1,28.88,0.1
IH,2025-06-30,IH202512,2025-12-19,47.71,0.508,59.83,12.12,57.42,9.71,64.81,17.1,64.81,17.1
IH,2025-07-31,IH202508,2025-08-15,1.24,1.0,1.24,0.0,1.24,0.0,1.24,0.0,1.24,0.0
IH,2025-07-31,IH202509,2025-09-19,4.97,0.72,4.71,-0.26,4.53,-0.45,5.09,0.11,5.09,0.11
IH,2025-07-31,IH202509,2025-09-19,4.97,0.72,4.71,-0.26,4.53,-0.45,5.09,0.11,5.09,0.11
IH,2025-07-31,IH202512,2025-12-19,24.32,0.25,35.74,11.43,33.43,9.11,40.96,16.64,40.96,16.64
IH,2025-08-29,IH202509,2025-09-19,2.69,0.857,2.69,0.0,2.69,0.0,2.69,0.0,2.69,0.0
IH,2025-08-29,IH202510,2025-10-17,5.08,0.885,5.08,-0.0,5.08,-0.0,5.08,-0.0,5.08,-0.0
IH,2025-08-29,IH202512,2025-12-19,23.43,0.638,31.34,7.91,30.03,6.6,33.31,9.88,33.31,9.88
IH,2025-08-29,IH202603,2026-03-20,36.46,0.57,51.82,15.36,48.38,11.92,53.41,16.96,53.41,16.96
IH,2025-09-30,IH202510,2025-10-17,1.03,1.0,1.03,0.0,1.03,0.0,1.03,0.0,1.03,0.0
IH,2025-09-30,IH202511,2025-11-21,8.6,1.0,8.6,0.0,8.6,0.0,8.6,0.0,8.6,0.0
IH,2025-09-30,IH202512,2025-12-19,17.75,0.846,19.71,1.96,19.97,2.22,20.78,3.02,20.78,3.02
IH,2025-09-30,IH202603,2026-03-20,28.75,0.8,32.1,3.35,32.34,3.59,33.86,5.11,33.86,5.11
IH,2025-10-31,IH202511,2025-11-21,1.8,1.0,1.8,0.0,1.8,0.0,1.8,0.0,1.8,0.0
IH,2025-10-31,IH202512,2025-12-19,11.25,1.0,11.25,0.0,11.25,0.0,11.25,0.0,11.25,0.0
IH,2025-10-31,IH202512,2025-12-19,11.25,1.0,11.25,0.0,11.25,0.0,11.25,0.0,11.25,0.0
IH,2025-10-31,IH202603,2026-03-20,22.44,1.0,22.44,0.0,22.44,0.0,22.44,0.0,22.44,0.0
IH,2025-11-28,IH202512,2025-12-19,9.19,1.0,9.19,0.0,9.19,0.0,9.19,0.0,9.19,0.0
IH,2025-11-28,IH202601,2026-01-16,15.15,1.0,15.15,0.0,15.15,0.0,15.15,0.0,15.15,0.0
IH,2025-11-28,IH202603,2026-03-20,20.23,1.0,20.23,0.0,20.23,0.0,20.23,0.0,20.23,0.0
IH,2025-11-28,IH202606,2026-06-19,41.23,0.5,39.85,-1.38,38.97,-2.26,36.06,-5.17,36.06,-5.17
IH,2025-12-31,IH202601,2026-01-16,4.82,1.0,4.82,0.0,4.82,0.0,4.82,0.0,4.82,0.0
IH,2025-12-31,IH202602,2026-02-20,10.13,1.0,10.13,0.0,10.13,0.0,10.13,0.0,10.13,0.0
IH,2025-12-31,IH202603,2026-03-20,10.13,1.0,10.13,0.0,10.13,0.0,10.13,0.0,10.13,0.0
IH,2025-12-31,IH202606,2026-06-19,32.17,0.353,30.68,-1.49,29.84,-2.33,26.78,-5.39,26.78,-5.39
