product,view_date,contract,expire,dpv_forecast_pts,dpv_truth_pts,err_pts,err_pct,announced_coverage
IC,2024-09-30,IC202410,2024-10-18,2.26,2.26,0.0,,1.0
IC,2024-09-30,IC202411,2024-11-15,4.14,4.14,0.0,,1.0
IC,2024-09-30,IC202412,2024-12-20,7.34,6.65,0.69,10.4,0.776
IC,2024-09-30,IC202503,2025-03-21,10.99,8.72,2.27,26.0,0.624
IC,2024-10-31,IC202411,2024-11-15,0.5,0.5,0.0,,1.0
IC,2024-10-31,IC202412,2024-12-20,3.08,3.08,0.0,,1.0
IC,2024-10-31,IC202412,2024-12-20,3.08,3.08,0.0,,1.0
IC,2024-10-31,IC202503,2025-03-21,5.21,5.21,0.0,0.0,1.0
IC,2024-11-29,IC202412,2024-12-20,1.37,1.37,0.0,,1.0
IC,2024-11-29,IC202501,2025-01-17,1.99,1.99,0.0,,1.0
IC,2024-11-29,IC202503,2025-03-21,3.48,3.48,0.0,,1.0
IC,2024-11-29,IC202506,2025-06-20,44.47,45.45,-0.97,-2.1,0.15
IC,2024-12-31,IC202501,2025-01-17,0.28,0.28,0.0,,1.0
IC,2024-12-31,IC202502,2025-02-21,1.6,1.6,0.0,,1.0
IC,2024-12-31,IC202503,2025-03-21,1.74,1.74,0.0,,1.0
IC,2024-12-31,IC202506,2025-06-20,41.85,42.8,-0.95,-2.2,0.074
IC,2025-01-27,IC202502,2025-02-21,0.0,0.0,0.0,,
IC,2025-01-27,IC202503,2025-03-21,0.14,0.14,0.0,,1.0
IC,2025-01-27,IC202503,2025-03-21,0.14,0.14,0.0,,1.0
IC,2025-01-27,IC202506,2025-06-20,39.29,40.22,-0.93,-2.3,0.012
IC,2025-02-28,IC202503,2025-03-21,0.14,0.14,0.0,,1.0
IC,2025-02-28,IC202504,2025-04-18,1.65,1.65,0.0,,1.0
IC,2025-02-28,IC202506,2025-06-20,41.64,42.16,-0.52,-1.2,0.024
IC,2025-02-28,IC202509,2025-09-19,73.98,71.4,2.57,3.6,0.014
IC,2025-03-31,IC202504,2025-04-18,0.96,0.96,0.0,,1.0
IC,2025-03-31,IC202505,2025-05-16,4.81,4.95,-0.14,,0.759
IC,2025-03-31,IC202506,2025-06-20,41.51,41.46,0.05,0.1,0.32
IC,2025-03-31,IC202509,2025-09-19,73.49,70.69,2.8,4.0,0.262
IC,2025-04-30,IC202505,2025-05-16,2.59,2.59,0.0,,1.0
